split,support_tier,model,horizon,n_cases,n_lakes,MAE,RMSE,mean_bias,MASE,pct_lakes_beat_naive,n_interval_80,coverage_80,width_80,n_interval_95,coverage_95,width_95
development,Full,Shrink recent/long-run 75/25,1,2780,359,0.4587024220811256,0.6247557964837341,0.01047358194560946,0.8116217199869317,71.86629526462396,2780,0.8431654676258993,1.6113331283454644,2780,0.9661870503597122,2.855049811917004
development,Full,Shrink recent/long-run 75/25,3,2699,355,0.5114113186846596,0.6988650455971939,-0.0689562483568857,0.9005148666801158,74.36619718309859,2699,0.8395702111893294,1.7885982478889666,2699,0.9644312708410523,3.0858974706491153
development,Full,Shrink recent/long-run 75/25,5,2663,346,0.5413239462965386,0.7486166955902411,-0.14086759753453115,0.9424625690805339,73.98843930635837,2663,0.8437852046564025,1.8880614656072128,2663,0.9601952684941795,3.3181782587849376
development,Full,Shrink recent/long-run 75/25,10,2536,334,0.6088895319792326,0.8710004683053134,-0.1840032811062062,1.0523814675273337,76.64670658682635,2536,0.8529179810725552,2.162433991978643,2536,0.9676656151419558,3.7744008260828488
later,All,EWMA alpha 0.10,1,1709,446,0.5595092359176197,0.8029200577913775,-0.2463629103857084,1.0066106694894175,54.035874439461885,1709,0.8115857226448215,1.7776202853925362,1709,0.949093036863663,3.162827472637969
later,All,EWMA alpha 0.10,2,1638,406,0.5527341483127542,0.8215888956897381,-0.18255703578582202,0.9845201398312093,60.3448275862069,1638,0.8333333333333334,1.8417292828644019,1638,0.9529914529914529,3.2422919672819175
later,All,EWMA alpha 0.10,3,1614,398,0.5745318074031212,0.8610056344253252,-0.186118540326366,1.0312052061122965,61.55778894472361,1614,0.8308550185873605,1.8916805162973525,1614,0.9510532837670385,3.3161978520289956
later,All,EWMA alpha 0.10,4,1552,387,0.6144566227559543,0.9007929956682464,-0.03329491752229744,1.0981959878391194,58.656330749354005,1552,0.803479381443299,1.9223997213937467,1552,0.9516752577319587,3.4146264040304426
later,All,EWMA alpha 0.10,5,1525,381,0.6357312814867834,0.9203310438230864,-0.04219468184356737,1.1434665795874055,66.92913385826772,1525,0.8085245901639344,1.9723271733924173,1525,0.9481967213114754,3.489407861935631
later,All,EWMA alpha 0.20,1,1709,446,0.5000509293786859,0.7174841553336736,-0.1569821195391433,0.9012394855197616,61.88340807174888,1709,0.820947922761849,1.5952731336437604,1709,0.9485078993563487,2.852401979286313
later,All,EWMA alpha 0.20,2,1638,406,0.5009511065833863,0.7433134305597909,-0.09150884129199827,0.8966051434822341,65.27093596059113,1638,0.8296703296703297,1.6794307273863003,1638,0.9529914529914529,2.99320278460348
later,All,EWMA alpha 0.20,3,1614,398,0.5304933528614727,0.7921577410193114,-0.09429796190196221,0.9600446247094485,70.35175879396985,1614,0.8314745972738538,1.7558046332828825,1614,0.9504337050805453,3.1128868504157072
later,All,EWMA alpha 0.20,4,1552,387,0.588861745277079,0.8567283648313779,0.05464493187805659,1.058326825731472,62.532299741602074,1552,0.7931701030927835,1.7879231941504399,1552,0.9400773195876289,3.170340145100392
later,All,EWMA alpha 0.20,5,1525,381,0.6179664813058786,0.8889672639620952,0.04204305812348238,1.1130548920364238,69.5538057742782,1525,0.7822950819672131,1.8289082941583379,1525,0.9416393442622951,3.29795093540015
later,All,EWMA alpha 0.30,1,1709,446,0.48350362127081054,0.6872904610300741,-0.10532680162062703,0.8732278688271045,64.12556053811659,1709,0.8133411351667642,1.53913414472401,1709,0.949093036863663,2.7561539653342213
